Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,03/28/2024 19:59,Bulverde,TX,USA,Rectangle,"While reviewing pictures of a full rainbow, the camera detected an anomaly that was not visible with the naked eye",03/31/2024,Y,
Open,03/18/2024 22:53,Oak Harbor,WA,USA,Orb,"ORB became visible 145 degrees 20 miles from my home deck at an estimated altitude of 10,000 FEET",03/27/2024,,
Open,03/15/2024 21:11,Cincinnati,OH,USA,Orb,I was walking from parking a truck I looked up admiring the night sky when something caught my eye 2 orb like objects.,03/15/2024,,
Open,03/04/2024 19:30,Canby,MN,USA,Cube,Strange object observed while inflight,03/04/2024,Y,Rocket
Open,03/04/2024 17:30,Pueblo West,CO,USA,Orb,"White orb descended to 1000 AGL, exploded with a white halo, smoke and changed direction.",03/05/2024,,Rocket
Open,03/03/2024 22:00,Maud,TX,USA,Flash,A friend showed this video to me saying it was on a night flight and is certain it wasn’t from the plane cabin nor his I phone focusing,08/05/2024,Y,
Open,03/03/2024 22:00,Genoa,AR,USA,Diamond,The blue diamond shaped object can be seen during the last 1/3 of the video in the very far upper right rotating end over end .,08/05/2024,Y,
Open !,03/02/2024 22:23,Beckley,WV,USA,Orb,My captain and I saw moving stars. Looked kinda like satellites.,03/03/2024,Y,
Open !,02/28/2024 21:00,Mogi das Cruzes,São Paulo,Brazil,Orb,At least 40 orbs of light rising from the horizon in the distance,02/29/2024,,
Open !,02/27/2024 21:00,,-,USA,Orb,Multiple orbs of light over the Pacific Ocean maneuvering in a purposeful way for over two hours,02/28/2024,,
Open,02/26/2024 3:00,Draper,UT,USA,Other,"Outside at about 3 or 4 AM, notice flying object in sky. Barely visible, only illuminated by the moonlight.",03/16/2024,Y,
Open !,02/25/2024 21:12,Washington,DC,USA,Light,White light illuminated stationary before rapidly heading North and disappearing,02/25/2024,Y,
Open,02/24/2024 3:05,Kamiah,ID,USA,Changing,This has main lights with red and blue flashing that seems to rotate,02/24/2024,,
Open !,02/19/2024 21:15,Hilliard,FL,USA,Light,"While operating an aircraft in cruise at FL400, the crew observed 3 lights appearing and disappearing for approximately 1 hr 25 min.",02/20/2024,,
Open,02/18/2024 3:15,Manawa,WI,USA,Orb,1 to 3 fairly bright orbs (varied) maneuvering and loitering in ways uncharacteristic of typ. aircraft. No reference to judge distance.,02/18/2024,,
Open !,02/17/2024 20:43,Rockford,IL,USA,Light,Triangle formation of lights with other lights making passes through and around the formation,02/17/2024,Y,
Open !,02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,02/16/2024,Y,
